"exam","subject","chapter","unit","topic","difficulty","type","marks","negativeMarks","text","textHindi","optionA","optionAHindi","optionB","optionBHindi","optionC","optionCHindi","optionD","optionDHindi","correctOption","explanation","explanationHindi"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He behaves as if he knows everything about quantum astrophysics.","वह ऐसा व्यवहार करता है मानो वह क्वांटम खगोल भौतिकी के बारे में सब कुछ जानता हो।","knew","","had known","","has known","","No improvement","","A","""As if"" and ""as though"" expressing unreal situations are followed by the past subjunctive form.","अवास्तविक स्थितियों को व्यक्त करने वाले ""मानो"" और ""मानो"" के बाद भूतपूर्व उपवाक्य रूप आता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I bought two dozens bananas from the local street vendor.","मैंने स्थानीय स्ट्रीट वेंडर से दो दर्जन केले खरीदे।","dozen bananas","","dozens banana","","dozen banana","","No improvement","","A","After definite numerals such as two, three, and four, words like dozen, hundred, and thousand remain singular, while the following noun remains plural.","दो, तीन और चार जैसे निश्चित अंकों के बाद, दर्जन, सौ और हजार जैसे शब्द एकवचन रहते हैं, जबकि निम्नलिखित संज्ञा बहुवचन रहती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","This is the boy whom I know saved the drowning child yesterday.","यह वही लड़का है जिसके बारे में मैं जानता हूं कि उसने कल डूबते हुए बच्चे को बचाया था।","who","","which","","whose","","No improvement","","A","The relative pronoun functions as the subject of the verb ""saved,"" so ""who"" is required instead of ""whom.""","सापेक्ष सर्वनाम क्रिया ""बचाया"" के विषय के रूप में कार्य करता है, इसलिए ""किसके"" के बजाय ""कौन"" आवश्यक है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Five thousand rupees are a large sum for a poor laborer to arrange.","एक गरीब मजदूर के लिए पांच हजार रुपये की व्यवस्था करना बहुत बड़ी रकम है।","is","","were","","have been","","No improvement","","A","A sum of money, distance, weight, or period considered as a single unit takes a singular verb.","धन, दूरी, वजन या अवधि का योग एक इकाई के रूप में माना जाता है जो एकवचन क्रिया लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Every student should submit their assignment before Friday evening.","प्रत्येक छात्र को अपना असाइनमेंट शुक्रवार शाम से पहले जमा करना होगा।","his","","there","","our","","No improvement","","A","""Every student"" is singular; therefore, according to traditional grammar rules, it should take a singular possessive pronoun.","""प्रत्येक विद्यार्थी"" एकवचन है; इसलिए, पारंपरिक व्याकरण नियमों के अनुसार, इसे एकवचन अधिकारवाचक सर्वनाम लेना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The quality of these mangoes are not up to the export standards.","इन आमों की गुणवत्ता निर्यात मानकों के अनुरूप नहीं है।","is","","were","","have been","","No improvement","","A","The real subject of the sentence is ""The quality,"" which is singular and requires a singular verb.","वाक्य का वास्तविक विषय ""गुणवत्ता"" है, जो एकवचन है और इसके लिए एकवचन क्रिया की आवश्यकता होती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He is one of those men who does not compromise on moral principles.","वह उन व्यक्तियों में से एक हैं जो नैतिक सिद्धांतों से समझौता नहीं करते।","do","","is doing","","has done","","No improvement","","A","The relative pronoun ""who"" refers to ""men,"" which is plural; therefore, the plural verb ""do"" should be used.","सापेक्ष सर्वनाम ""कौन"" ""पुरुषों"" को संदर्भित करता है, जो बहुवचन है; इसलिए, बहुवचन क्रिया ""करो"" का प्रयोग किया जाना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","My scissors is missing from the study table drawer.","स्टडी टेबल की दराज से मेरी कैंची गायब है।","are","","was","","has been","","No improvement","","A","Nouns such as scissors, trousers, spectacles, and tongs are plural in form and take plural verbs. However, ""a pair of scissors"" takes a singular verb.","कैंची, पतलून, चश्मा और चिमटा जैसी संज्ञाएँ बहुवचन रूप में होती हैं और बहुवचन क्रियाएँ लेती हैं। हालाँकि, ""कैंची की एक जोड़ी"" एक विलक्षण क्रिया है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Of the two smart variants, this smartphone is the best option.","दोनों स्मार्ट वेरिएंट में से यह स्मार्टफोन सबसे अच्छा विकल्प है।","better","","most best","","good","","No improvement","","A","When comparing only two persons or things, the Comparative Degree is used. The Superlative Degree is used when comparing more than two.","केवल दो व्यक्तियों या वस्तुओं की तुलना करते समय तुलनात्मक डिग्री का उपयोग किया जाता है। दो से अधिक की तुलना करते समय सुपरलेटिव डिग्री का उपयोग किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He is enough wise to understand the cunning political trap.","वह धूर्त राजनीतिक जाल को समझने के लिए पर्याप्त बुद्धिमान हैं।","wise enough","","more wise enough","","wisest enough","","No improvement","","A","The adverb ""enough"" is placed after the adjective it modifies. Therefore, the correct structure is ""adjective + enough.""","क्रियाविशेषण ""पर्याप्त"" को उस विशेषण के बाद रखा जाता है जिसे वह संशोधित करता है। इसलिए, सही संरचना ""विशेषण + पर्याप्त"" है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","She was so infuriated that she slammed the cabin door heavy.","वह इतनी गुस्से में थी कि उसने केबिन के दरवाजे को जोर से पटक दिया।","heavily","","heaviness","","more heavy","","No improvement","","A","The verb ""slammed"" should be modified by an adverb, not an adjective. Hence, ""heavily"" is the correct choice.","क्रिया ""थपथपाई"" को क्रियाविशेषण द्वारा संशोधित किया जाना चाहिए, न कि विशेषण द्वारा। अतः, ""भारी"" सही विकल्प है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","This task is preferable than the one assigned to me last week.","यह कार्य पिछले सप्ताह मुझे सौंपे गए कार्य से बेहतर है।","preferable to","","more preferable than","","preferable over","","No improvement","","A","The adjective ""preferable"" is followed by the preposition ""to,"" not ""than."" It should not be preceded by ""more.""","विशेषण ""बेहतर"" के बाद ""से,"" नहीं ""से"" पूर्वसर्ग आता है। इसके पहले ""अधिक"" नहीं होना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The climate of Bengaluru is much better than Delhi.","बेंगलुरु की जलवायु दिल्ली से काफी बेहतर है.","than that of Delhi","","than Delhi's climate","","than those of Delhi","","No improvement","","A","Comparisons should be made between similar entities. The climate of Bengaluru should be compared with the climate of Delhi, not with the city itself.","समान संस्थाओं के बीच तुलना की जानी चाहिए। बेंगलुरु की जलवायु की तुलना दिल्ली की जलवायु से की जानी चाहिए, शहर से नहीं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He ran as fastly as he could to catch the last metro train.","आखिरी मेट्रो ट्रेन पकड़ने के लिए वह जितनी तेजी से दौड़ सकता था दौड़ा।","as fast as","","so fastly as","","fast enough as","","No improvement","","A","""Fast"" functions as both an adjective and an adverb. The word ""fastly"" is incorrect in standard English.","""तेज"" विशेषण और क्रियाविशेषण दोनों के रूप में कार्य करता है। मानक अंग्रेजी में ""फास्टली"" शब्द गलत है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I cannot cope up with this tremendous working pressure anymore.","मैं अब इस जबरदस्त कामकाजी दबाव का सामना नहीं कर सकता।","cope up","","cope with","","cope forward with","","No improvement","","B","The correct idiomatic expression is ""cope with,"" which means to deal successfully with a difficult situation.","सही मुहावरेदार अभिव्यक्ति है ""सामना करना"", जिसका अर्थ है किसी कठिन परिस्थिति से सफलतापूर्वक निपटना।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The aggressive dog was angry on the postman who entered the gate.","आक्रामक कुत्ता गेट में प्रवेश करने वाले पोस्टमैन पर क्रोधित था।","angry with","","angry at","","angry to","","No improvement","","A","""Angry with"" is used when referring to a person, whereas ""angry at"" is generally used for situations or things.","किसी व्यक्ति का जिक्र करते समय ""क्रोधित"" का उपयोग किया जाता है, जबकि ""क्रोधित"" का प्रयोग आम तौर पर स्थितियों या चीजों के लिए किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He abstained from voting in the local municipal elections.","उन्होंने स्थानीय नगर निगम चुनाव में मतदान से परहेज किया।","to vote","","against voting","","from to vote","","No improvement","","D","The verb ""abstain"" is correctly followed by the preposition ""from"" and a gerund form of the verb.","क्रिया ""परहेज"" का सही ढंग से पूर्वसर्ग ""से"" और क्रिया के गेरुंड रूप का अनुसरण किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","She is the most unique singer I have ever heard in live concerts.","वह सबसे अनोखी गायिका है जिसे मैंने कभी लाइव कॉन्सर्ट में सुना है।","a unique","","most unique","","very unique","","No improvement","","A","Adjectives such as ""unique,"" ""perfect,"" and ""complete"" express absolute qualities and generally do not take comparative or superlative forms.","""अद्वितीय,"" ""उत्तम,"" और ""पूर्ण"" जैसे विशेषण निरपेक्ष गुणों को व्यक्त करते हैं और आम तौर पर तुलनात्मक या उत्कृष्ट रूप नहीं लेते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He has hardly some money left in his bank account after the premium payment.","प्रीमियम भुगतान के बाद उनके बैंक खाते में मुश्किल से कुछ पैसे बचे हैं।","hardly any","","nearly some","","hardly no","","No improvement","","A","Words such as ""hardly,"" ""barely,"" and ""scarcely"" carry a negative sense and are followed by ""any,"" not ""some.""","""शायद ही,"" ""मुश्किल से,"" और ""शायद ही"" जैसे शब्द नकारात्मक अर्थ रखते हैं और उनके बाद ""कोई"" आता है, ""कुछ"" नहीं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","No other metal is as useful than iron in heavy industrial manufacturing.","भारी औद्योगिक विनिर्माण में लोहे से अधिक उपयोगी कोई अन्य धातु नहीं है।","as useful as","","more useful as","","so useful than","","No improvement","","A","The correct structure for positive degree comparison is ""as + adjective + as.""","सकारात्मक डिग्री तुलना के लिए सही संरचना ""जैसा + विशेषण + जैसा"" है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He is too intelligent that he cannot be fooled easily by online scammers.","वह इतना बुद्धिमान है कि उसे ऑनलाइन घोटालेबाज आसानी से मूर्ख नहीं बना सकते।","so intelligent that he cannot","","too intelligent to","","intelligent enough that he cannot","","No improvement","","A","The structure ""so + adjective + that + clause"" is used to express cause and result. ""Too...to"" requires an infinitive rather than a clause.","""तो + विशेषण + वह + उपवाक्य"" संरचना का प्रयोग कारण और परिणाम को व्यक्त करने के लिए किया जाता है। ""टू...टू"" के लिए एक उपवाक्य के बजाय एक इनफिनिटिव की आवश्यकता होती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The dynamic young officer was invested with the power of magistrate.","गतिशील युवा अधिकारी को मजिस्ट्रेट की शक्ति प्रदान की गई थी।","in","","by","","for","","No improvement","","D","The expression ""invested with"" means to formally confer authority, power, or responsibility upon someone. The sentence is grammatically correct.","अभिव्यक्ति ""के साथ निवेश"" का अर्थ औपचारिक रूप से किसी को अधिकार, शक्ति या जिम्मेदारी प्रदान करना है। वाक्य व्याकरणिक दृष्टि से सही है."
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","If I will go to Delhi, I will bring your books.","मैं दिल्ली जाऊँगा तो आपकी किताबें लाऊँगा।","go","","would go","","went","","No improvement","","A","In the First Conditional, the if-clause takes the Simple Present Tense, while the main clause takes the Simple Future Tense.","प्रथम सशर्त में, यदि-खंड सरल वर्तमान काल लेता है, जबकि मुख्य खंड सरल भविष्य काल लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The standard of living in India is lower than England.","भारत में जीवन स्तर इंग्लैण्ड से निम्न है।","than that of England","","than those of England","","to England","","No improvement","","A","The comparison is between the standard of living in India and the standard of living in England. ""That of"" avoids repetition of the singular noun.","तुलना भारत में जीवन स्तर और इंग्लैंड में जीवन स्तर के बीच है। ""वह"" एकवचन संज्ञा की पुनरावृत्ति से बचाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Neither the principal nor the lecturers was present in the meeting.","बैठक में न तो प्राचार्य उपस्थित थे और न ही व्याख्याता।","were","","is","","have","","No improvement","","A","In ""Neither...nor"" constructions, the verb agrees with the subject nearest to it. Since ""lecturers"" is plural, ""were"" is correct.","""न तो... न ही"" निर्माण में, क्रिया अपने निकटतम विषय से सहमत होती है। चूँकि ""व्याख्याता"" बहुवचन है, ""थे"" सही है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He did not know how to solve the problem, and neither I did.","वह नहीं जानता था कि समस्या का समाधान कैसे किया जाए, और न ही मैं जानता था।","neither did I","","neither I do","","either did I","","No improvement","","A","Negative agreement requires inversion after ""neither,"" placing the auxiliary verb before the subject.","नकारात्मक समझौते के लिए सहायक क्रिया को विषय से पहले रखने पर ""कुछ भी नहीं"" के बाद उलटाव की आवश्यकता होती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The criminal was hung to death this morning.","आज सुबह अपराधी को फाँसी पर लटका दिया गया।","hanged","","hang","","hanging","","No improvement","","A","""Hanged"" is used when referring to execution by hanging, whereas ""hung"" is used for suspending objects.","""हैंग्ड"" का उपयोग फांसी द्वारा निष्पादन का संदर्भ देते समय किया जाता है, जबकि ""हैंग्ड"" का उपयोग वस्तुओं को निलंबित करने के लिए किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","She is having a luxurious car and a big house in Mumbai.","उनके पास मुंबई में एक शानदार कार और एक बड़ा घर है।","has","","owns had","","possesses having","","No improvement","","A","Stative verbs expressing possession are generally not used in continuous forms.","स्वामित्व को व्यक्त करने वाली मूल क्रियाओं का प्रयोग आमतौर पर निरंतर रूपों में नहीं किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","My brother-in-laws who live in London have come to visit us.","लंदन में रहने वाले मेरे भाई-भाभी हमसे मिलने आए हैं।","brothers-in-law","","brother-in-law's","","brothers-in-laws","","No improvement","","A","In compound nouns, the principal word takes the plural form.","संयुक्त संज्ञा में मुख्य शब्द बहुवचन रूप लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I am working on this research project since January.","मैं जनवरी से इस शोध परियोजना पर काम कर रहा हूं।","have been working","","was working","","had worked","","No improvement","","A","Since an action started in the past and continues to the present, the Present Perfect Continuous Tense is required.","चूँकि कोई क्रिया अतीत में शुरू हुई और वर्तमान तक जारी रहती है, वर्तमान पूर्ण सतत काल की आवश्यकता होती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","No sooner had he finished his speech when the audience started clapping.","जैसे ही उन्होंने अपना भाषण ख़त्म किया, दर्शकों ने तालियाँ बजाना शुरू कर दिया।","than","","then","","before","","No improvement","","A","""No sooner"" is always paired with ""than.""","""नो जल्दी"" को हमेशा ""से"" के साथ जोड़ा जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Many a students have failed the physical endurance test.","कई छात्र शारीरिक सहनशक्ति परीक्षण में असफल हो गए हैं।","student has","","students has","","student have","","No improvement","","A","""Many a"" is followed by a singular noun and a singular verb.","""अनेक"" के बाद एकवचन संज्ञा और एकवचन क्रिया आती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He is too weak that he cannot walk without support.","वह इतना कमजोर है कि बिना सहारे के चल नहीं सकता।","to","","so that he cannot","","so weak to","","No improvement","","A","The correct structure is ""too + adjective + to + verb.""","सही संरचना ""टू + विशेषण + से + क्रिया"" है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","She handles all tasks with carefully.","वह सभी कार्यों को सावधानी से निपटाती है।","carefully","","with care","","with carefulness","","No improvement","","A","The verb should be modified by an adverb. ""Carefully"" is the appropriate form.","क्रिया को क्रियाविशेषण द्वारा संशोधित किया जाना चाहिए। ""सावधानीपूर्वक"" उपयुक्त रूप है."
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","You must avail yourself of this golden opportunity.","आपको इस सुनहरे अवसर का अवश्य लाभ उठाना चाहिए।","avail of","","avail yourself","","avail to","","No improvement","","D","The correct expression is ""avail oneself of,"" which requires a reflexive pronoun followed by ""of.""","सही अभिव्यक्ति है ""अपने आप का लाभ उठाएं"", जिसके लिए एक रिफ्लेक्टिव सर्वनाम की आवश्यकता होती है जिसके बाद ""का"" आता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The weather of Mussoorie conduces for good health.","मसूरी का मौसम अच्छे स्वास्थ्य के लिए अनुकूल है।","conduces to","","conduces with","","conduces at","","No improvement","","A","The verb ""conduce"" is followed by the preposition ""to.""","क्रिया ""conduce"" के बाद पूर्वसर्ग ""to"" आता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Suppose if you are selected, which city would you prefer?","मान लीजिए यदि आपका चयन हो जाए तो आप कौन सा शहर पसंद करेंगे?","Suppose you are","","If suppose you are","","Supposing if you are","","No improvement","","A","""Suppose"" and ""if"" convey the same meaning, so using both together is redundant.","""मान लीजिए"" और ""यदि"" एक ही अर्थ बताते हैं, इसलिए दोनों का एक साथ उपयोग करना अनावश्यक है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He is the most cleverest boy in our class.","वह हमारी कक्षा का सबसे चतुर लड़का है।","cleverest","","more cleverer","","most clever","","No improvement","","A","""Cleverest"" is already a superlative form. Using ""most"" creates an incorrect double superlative.","""चतुरतम"" पहले से ही एक उत्कृष्ट रूप है। ""अधिकांश"" का उपयोग करने से एक गलत दोहरा अतिशयोक्ति बन जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The short-circuit caused a major damage to the server room.","शॉर्ट-सर्किट से सर्वर रूम को भारी नुकसान पहुंचा।","major damage","","major damages","","a major damages","","No improvement","","A","""Damage"" is an uncountable noun in this context and does not take the article ""a.""","इस संदर्भ में ""नुकसान"" एक बेशुमार संज्ञा है और लेख ""ए"" नहीं लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Unless you do not apologize, you will be suspended.","जब तक आप माफ़ी नहीं मांगेंगे, आपको निलंबित कर दिया जाएगा.","apologize","","will apologize","","did not apologize","","No improvement","","A","""Unless"" already implies negation, so an additional negative form is unnecessary.","""जब तक"" पहले से ही निषेध का तात्पर्य नहीं है, इसलिए एक अतिरिक्त नकारात्मक रूप अनावश्यक है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I bought two dozens bananas from the local vendor.","मैंने स्थानीय विक्रेता से दो दर्जन केले खरीदे।","two dozen bananas","","two dozen banana","","two dozens banana","","No improvement","","A","After definite numerals, words such as dozen, hundred, and thousand remain singular.","निश्चित अंकों के बाद दर्जन, सौ और हजार जैसे शब्द एकवचन ही रहते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The manager disposed off the old files within an hour.","प्रबंधक ने एक घंटे के अंदर पुरानी फाइलों का निस्तारण कर दिया।","disposed of","","dispose away","","disposed with","","No improvement","","A","The correct phrasal verb is ""dispose of,"" meaning to get rid of something.","सही वाक्यांश क्रिया ""निपटान"" है, जिसका अर्थ है किसी चीज़ से छुटकारा पाना।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Let you and I complete this assignment together.","आइए आप और मैं मिलकर इस कार्य को पूरा करें।","me","","myself","","we","","No improvement","","A","""Let"" is followed by objective pronouns such as me, him, her, and us.","""चलो"" के बाद मैं, वह, वह और हम जैसे वस्तुनिष्ठ सर्वनाम आते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","It is high time you take up a serious job.","अब समय आ गया है कि आप कोई गंभीर कार्य करें।","took","","taken","","have taken","","No improvement","","A","The expression ""It is high time"" is followed by a verb in the past subjunctive form (V2).","अभिव्यक्ति ""यह सही समय है"" के बाद भूतकाल के उपवाक्य रूप (V2) में एक क्रिया आती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Bread and butter are a wholesome breakfast for athletes.","एथलीटों के लिए ब्रेड और मक्खन एक पौष्टिक नाश्ता है।","is","","were","","have been","","No improvement","","A","When two nouns together express a single idea or one item, they take a singular verb.","जब दो संज्ञाएँ मिलकर एक विचार या एक वस्तु को व्यक्त करती हैं तो वे एक विलक्षण क्रिया लेती हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The custom officer scarcely entered the room than the lights went out.","कस्टम अधिकारी जैसे ही कमरे में दाखिल हुआ तभी लाइट बुझ गई।","had scarcely entered the room when","","scarcely had entered the room than","","scarcely entered the room then","","No improvement","","A","""Scarcely"" is commonly used with the Past Perfect Tense and is followed by ""when.""","""स्केर्सली"" का प्रयोग आमतौर पर पास्ट परफेक्ट टेंस के साथ किया जाता है और इसके बाद ""कब"" आता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","This is the most unique piece of art I have ever seen.","यह कला का सबसे अनोखा नमूना है जो मैंने कभी देखा है।","a unique","","unique","","the unique","","No improvement","","B","""Unique"" is an absolute adjective and does not normally take comparative or superlative forms.","""अद्वितीय"" एक पूर्ण विशेषण है और सामान्यतः यह तुलनात्मक या अतिशयोक्तिपूर्ण रूप नहीं लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He is good in Mathematics but weak in English.","वह गणित में अच्छा है लेकिन अंग्रेजी में कमजोर है।","good at","","good with","","good into","","No improvement","","A","The correct expression for being skilled in a subject or activity is ""good at.""","किसी विषय या गतिविधि में कुशल होने की सही अभिव्यक्ति ""अच्छा"" है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The committee were unanimous in its decision.","समिति अपने निर्णय में एकमत थी।","was","","have been","","are","","No improvement","","A","A collective noun expressing a unified opinion takes a singular verb and singular pronoun.","किसी एकीकृत मत को व्यक्त करने वाली समूहवाचक संज्ञा एकवचन क्रिया और एकवचन सर्वनाम लेती है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Each of the participants were given a certificate.","प्रत्येक प्रतिभागी को प्रमाण पत्र दिया गया।","was","","are","","have been","","No improvement","","A","Expressions such as ""each of"" take singular verbs because they refer to individuals separately.","""प्रत्येक"" जैसे भाव एकवचन क्रिया लेते हैं क्योंकि वे व्यक्तियों को अलग-अलग संदर्भित करते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The news of the plane crash are shocking.","विमान हादसे की खबरें चौंकाने वाली हैं.","is","","were","","have been","","No improvement","","A","""News"" is singular in form and meaning and therefore takes a singular verb.","""समाचार"" रूप और अर्थ में एकवचन है और इसलिए एकवचन क्रिया लेता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He walked fast lest he should not miss the train.","वह तेजी से चला कि कहीं ट्रेन न छूट जाए।","should","","would not","","might not","","No improvement","","A","""Lest"" itself conveys a negative meaning and is followed by ""should"" without ""not.""","""ऐसा न हो कि"" अपने आप में एक नकारात्मक अर्थ व्यक्त करता है और इसके बाद ""नहीं"" के बिना ""चाहिए"" आता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","One should perform his duty sincerely.","व्यक्ति को अपना कर्तव्य ईमानदारी से निभाना चाहिए।","one's","","their","","her","","No improvement","","A","When the subject is ""one,"" the corresponding possessive pronoun should be ""one's.""","जब विषय ""एक"" है, तो संबंधित अधिकारवाचक सर्वनाम ""एक का"" होना चाहिए।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I look forward to receive your reply soon.","मैं शीघ्र ही आपका उत्तर पाने की आशा रखता हूँ।","receiving","","received","","be receiving","","No improvement","","A","The phrase ""look forward to"" is followed by a gerund because ""to"" functions as a preposition.","वाक्यांश ""आगे देखो"" के बाद गेरुंड आता है क्योंकि ""करना"" एक पूर्वसर्ग के रूप में कार्य करता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The master severe punished the servant for breaking the vase.","फूलदान तोड़ने पर स्वामी ने नौकर को कड़ी सजा दी।","severely punished","","severe punish","","punishing severely","","No improvement","","A","The verb should be modified by an adverb. Therefore, ""severely"" is required instead of the adjective ""severe.""","क्रिया को क्रियाविशेषण द्वारा संशोधित किया जाना चाहिए। इसलिए, विशेषण ""गंभीर"" के बजाय ""गंभीरता से"" आवश्यक है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","She prefers tea than coffee in the morning.","वह सुबह कॉफी से ज्यादा चाय पसंद करती हैं।","to","","over","","rather than","","No improvement","","A","The verb ""prefer"" is followed by the preposition ""to.""","क्रिया ""पसंद"" के बाद पूर्वसर्ग ""को"" आता है।"
