exam,subject,chapter,unit,topic,difficulty,type,marks,negativeMarks,text,optionA,optionB,optionC,optionD,correctOption,explanation
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Let you and I complete this assignment together.,me,myself,we,No improvement,A,"""Let"" is followed by objective pronouns such as me, him, her, and us."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,It is high time you take up a serious job.,took,taken,have taken,No improvement,A,"The expression ""It is high time"" is followed by a verb in the past subjunctive form (V2)."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Bread and butter are a wholesome breakfast for athletes.,is,were,have been,No improvement,A,"When two nouns together express a single idea or one item, they take a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The custom officer scarcely entered the room than the lights went out.,had scarcely entered the room when,scarcely had entered the room than,scarcely entered the room then,No improvement,A,"""Scarcely"" is commonly used with the Past Perfect Tense and is followed by ""when."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,This is the most unique piece of art I have ever seen.,a unique,unique,the unique,No improvement,B,"""Unique"" is an absolute adjective and does not normally take comparative or superlative forms."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is good in Mathematics but weak in English.,good at,good with,good into,No improvement,A,"The correct expression for being skilled in a subject or activity is ""good at."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The committee were unanimous in its decision.,was,have been,are,No improvement,A,A collective noun expressing a unified opinion takes a singular verb and singular pronoun.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Each of the participants were given a certificate.,was,are,have been,No improvement,A,"Expressions such as ""each of"" take singular verbs because they refer to individuals separately."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The news of the plane crash are shocking.,is,were,have been,No improvement,A,"""News"" is singular in form and meaning and therefore takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He walked fast lest he should not miss the train.,should,would not,might not,No improvement,A,"""Lest"" itself conveys a negative meaning and is followed by ""should"" without ""not."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,One should perform his duty sincerely.,one's,their,her,No improvement,A,"When the subject is ""one,"" the corresponding possessive pronoun should be ""one's."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I look forward to receive your reply soon.,receiving,received,be receiving,No improvement,A,"The phrase ""look forward to"" is followed by a gerund because ""to"" functions as a preposition."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The master severe punished the servant for breaking the vase.,severely punished,severe punish,punishing severely,No improvement,A,"The verb should be modified by an adverb. Therefore, ""severely"" is required instead of the adjective ""severe."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She prefers tea than coffee in the morning.,to,over,rather than,No improvement,A,"The verb ""prefer"" is followed by the preposition ""to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The Scenery of Kashmir are very beautiful.,sceneries of Kashmir are,scenery of Kashmir is,scenery of Kashmir were,No improvement,B,"""Scenery"" is an uncountable noun and takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Hard work is the key for success.,key to,key of,key in,No improvement,A,"The fixed expression is ""the key to success."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He has completed his graduation in 2022.,completed his graduation,had completed his graduation,was completing graduation,No improvement,A,A definite past time expression requires the Simple Past Tense rather than the Present Perfect Tense.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I cannot agree with your proposal.,to,on,at,No improvement,A,"We ""agree with"" a person but ""agree to"" a proposal, suggestion, or plan."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Being a rainy day, I decided to stay indoors.","It being a rainy day, I decided to stay","As it being a rainy day, I decided to stay","Since a rainy day, I decided to stay",No improvement,A,"The original sentence contains a dangling participle. The introductory phrase requires its own logical subject, ""It."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,They left the hotel with bag and baggage.,bag and baggage,with bags and baggages,by bag and baggage,No improvement,A,"""Bag and baggage"" is a fixed idiomatic expression, and adding ""with"" before it is unnecessary."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If he had studied hard, he would pass the exam.",would have passed,will pass,passed,No improvement,A,"The Third Conditional follows the pattern: If + Past Perfect, would have + past participle."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The click of the cameras distracted the batsman.,distracts,distract,was distracting,No improvement,D,"The singular subject ""click"" correctly takes the Simple Past verb ""distracted."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,No sooner did I opened the door than the cat ran out.,open,opens,had opened,No improvement,A,"After auxiliary verbs such as ""did,"" the base form of the verb is used."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The performance of our team was much better than expected.,more better,very better,the best,No improvement,D,"""Much better"" is a correct way to emphasize a comparative adjective. ""More better"" is incorrect."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Both the sisters are not going to the party.,Neither of the sisters is,None of the sisters are,Both sisters are refusing,No improvement,A,"To express a negative idea involving two people, ""neither of"" with a singular verb is preferred."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The fire spread across the building but fortunately everyone could escape.,was able to,might,can,No improvement,A,"""Was able to"" is often preferred for describing successful completion of a specific action in the past."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Many a man have lost everything in gambling.,has lost everything,have lose everything,has lose everything,No improvement,A,"""Many a"" is followed by a singular noun and a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He behaves as if he is the owner of the company.,were,was,has been,No improvement,A,"Unreal or hypothetical situations introduced by ""as if"" take the past subjunctive form ""were."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Beside his parents, his uncle was also present at the function.",Besides his parents,Beside of his parents,By beside his parents,No improvement,A,"""Besides"" means ""in addition to,"" whereas ""beside"" means ""next to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The climate of Chennai is hotter than Bangalore.,than that of Bangalore,than those of Bangalore,to Bangalore,No improvement,A,"The comparison should be between the climates of the two cities, not between a climate and a city."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is senior and older than all other employees in this office.,senior to and older than,senior than and older than,senior to and old than,No improvement,A,"""Senior"" is followed by ""to,"" while ""older"" is followed by ""than."" Each adjective must take its correct preposition."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,My friend is habituated to smoke after dinner.,to smoking,with smoking,for smoking,No improvement,A,"Expressions such as ""habituated to,"" ""accustomed to,"" and ""used to"" are followed by a gerund (verb + ing form)."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,No sooner the thief saw the police than he took to his heels.,No sooner did the thief see,No sooner had the thief saw,No sooner the thief had seen,No improvement,A,"Sentences beginning with ""No sooner"" require inversion. The auxiliary verb comes before the subject, and ""did"" is followed by the base form of the verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She is the prettiest of the two sisters.,prettier of the two sisters,prettiest between the two sisters,more pretty of the two sisters,No improvement,A,"When comparing only two persons or things, the comparative degree should be used instead of the superlative degree."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I would rather die to beg.,than beg,than begging,to begging,No improvement,A,"The correct structure is ""would rather + base verb + than + base verb."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The teacher asked the student why was he late.,why he was late,why he is late,that why he was late,No improvement,A,"In indirect speech, interrogative sentences change into assertive word order, placing the subject before the verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He has not seen his parents since two years.,for two years,from two years,before two years,No improvement,A,"""For"" is used to indicate a duration of time, whereas ""since"" refers to a specific point in time."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The match had started before we reached the stadium.,reach,had reached,have reached,No improvement,D,"The earlier past action takes the Past Perfect Tense, while the later action takes the Simple Past Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The news are true; I heard it on the radio.,is true,were true,have been true,No improvement,A,"""News"" is an uncountable noun and always takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"You cannot bypass the rules, can you?",can't you?,do you?,will you?,No improvement,D,A negative statement requires a positive question tag. The given tag is correct.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is enough wise to understand your tricks.,wise enough,too wise enough,wisely enough,No improvement,A,"The word ""enough"" follows the adjective it modifies."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The Cattle is grazing in the nearby meadows.,are grazing,was grazing,has been grazing,No improvement,A,"""Cattle"" is treated as a plural noun and therefore takes a plural verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,They are discussing about the new economic policy.,are discussing,are discussing on,are discussing of,No improvement,A,"""Discuss"" is a transitive verb and does not require the preposition ""about."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If I was you, I would accept the job offer immediately.",were,am,had been,No improvement,A,"Hypothetical or unreal conditions require the subjunctive form ""were."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,None of the two candidates is eligible for the post.,Neither of the two candidates,Either of the two candidates,No one of the two candidates,No improvement,A,"""Neither"" is used for two persons or things, whereas ""none"" is generally used for more than two."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He ordered for a cup of strong filter coffee.,ordered,ordered to,ordered with,No improvement,A,"""Order"" is a transitive verb and does not require the preposition ""for."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Unless you do not study hard, you will fail.",study hard,will study hard,not study hard,No improvement,A,"Since ""unless"" already expresses a negative meaning, an additional negative form is incorrect."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Each of the employees have received the bonus.,has,are having,were,No improvement,A,"Expressions such as ""each of"" take singular verbs."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She behaves as if she knows everything.,knew,had known,was knowing,No improvement,A,"Unreal present situations after ""as if"" often take the past subjunctive form."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,It is high time you return home.,returned,will return,have returned,No improvement,A,"The expression ""It is high time"" is followed by a past tense verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is addicted to gamble.,to gambling,with gambling,at gambling,No improvement,A,"""Addicted to"" is followed by a gerund."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She is more cleverer than her brother.,cleverer,most clever,more clever,No improvement,A,"Using both ""more"" and a comparative form creates an incorrect double comparative."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I am tired with doing the same repetitive task everyday.,of,from,by,No improvement,A,"The correct expression is ""tired of."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The population of Tokyo is greater than any city in the world.,than that of any other city,than any other city,than those of any city,No improvement,A,"The comparison should be between populations, not between a population and a city."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Many a soldier have lost their lives in the war.,has lost his life,have lost his life,has lost their life,No improvement,A,"""Many a"" takes a singular noun, singular verb, and singular pronoun."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Scarcely had I opened the umbrella than it started raining heavily.,when,then,before,No improvement,A,"""Scarcely"" is correctly paired with ""when."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The furniture in this showroom are made of high-quality teak wood.,is,were,have been,No improvement,A,"""Furniture"" is an uncountable noun and takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Both of them did not go to the exhibition.,Neither of them went,None of them went,Both of them went not,No improvement,A,"For two people in a negative context, ""neither of"" is preferred."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Hard work is the key for success.,key to,key of,key in,No improvement,A,"The correct expression is ""the key to success."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He walked fast lest he should miss the bus.,should miss,should not miss,would miss,No improvement,D,"""Lest"" is correctly followed by ""should"" without an additional negative."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,One must respect his elders.,one's,their,individual,No improvement,A,"The possessive form corresponding to ""one"" is ""one's."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The standard of education in private schools is better than government schools.,than that in government schools,than those in government schools,than government schools,No improvement,A,"The comparison is between standards of education, not the schools themselves."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He entered into the room without any permission.,entered the room,entered inside the room,entered in the room,No improvement,A,"The verb ""enter"" does not require the preposition ""into."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The performance of the actors was majorly superior than yesterday.,was superior to,was superior than,was more superior to,No improvement,A,"Adjectives such as superior, inferior, senior, and junior are followed by ""to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I prefer swimming than running.,to,over,instead of,No improvement,A,"The verb ""prefer"" takes the preposition ""to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Being a fine day, we went out for a long drive.","It being a fine day, we went out","As being a fine day, we went out","Since fine day, we went out",No improvement,A,The introductory phrase requires its own logical subject to avoid a dangling participle.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,They left the town with bag and baggage.,bag and baggage,with bags and baggages,by bag and baggage,No improvement,A,"""Bag and baggage"" is a fixed idiomatic expression."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If I had known you were in town, I would have met you.",had known,knew,would know,No improvement,D,The sentence correctly follows the Third Conditional pattern.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He was hung for the murder of his business partner.,hanged,hang,hunged,No improvement,A,"""Hanged"" is used in the context of execution by hanging."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Neither the teacher nor the students was happy with the new timetable.,were,is,are being,No improvement,A,"The verb agrees with the subject nearest to it, which is plural."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"He did not pass the exam, and neither did his sister.",neither did his sister,neither his sister did,either did his sister,No improvement,D,"The sentence correctly follows the inversion pattern used after ""neither."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She is owning three prime properties in Delhi NCR.,owns,has owned,is possessor of,No improvement,A,"""Own"" is a stative verb and is generally not used in continuous forms to indicate possession."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,My sister-in-las have come to stay with us.,sisters-in-law,sister-in-law's,sisters-in-laws,No improvement,A,The plural form of this compound noun is created by pluralizing the principal noun.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I am preparing for SSC CGL since five months.,have been preparing,was preparing,am being preparing,No improvement,A,An action continuing over a period of time requires the Present Perfect Continuous Tense.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is too weak that he cannot lift this heavy box.,so weak that he cannot,too weak to cannot,weak enough to,No improvement,A,"The structure ""so + adjective + that + clause"" is appropriate here."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She manages the financial accounts with carefully.,carefully,with care,with carefulness,No improvement,A,The verb should be modified by an adverb.
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,You must avail of this opportunity to excel.,avail yourself of,avail yourself to,avail of yourself,No improvement,A,"The correct expression is ""avail yourself of."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The pleasant climate of Bengaluru conduces for good health.,conduces to,conduces with,conduces at,No improvement,A,"The verb ""conduce"" is followed by the preposition ""to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Suppose if you lose the match, what will you do?",Suppose you lose,If suppose you lose,Supposing if you lose,No improvement,A,"Using both ""suppose"" and ""if"" together is redundant."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Bread and butter are my favorite breakfast item.,is,were,have been,No improvement,A,"When two nouns refer to a single item or idea, a singular verb is used."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is the most unique designer in the fashion industry.,a unique,unique,the unique,No improvement,B,"""Unique"" is an absolute adjective and should not be used with superlative forms."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is good in making intricate sketches.,good at,good with,good into,No improvement,A,"The fixed expression ""good at"" is used to indicate skill or proficiency in an activity or subject. Therefore, ""good at making intricate sketches"" is the correct usage."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The panel were unanimous in its final verdict.,was,are,have been,No improvement,A,"A collective noun such as ""panel"" takes a singular verb when the members act as a single unit. Since the panel was unanimous, the singular verb ""was"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Each of the participants were rewarded with a memento.,was,are,have been,No improvement,A,"""Each of"" is treated as singular and therefore requires a singular verb. Hence, ""was rewarded"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The news of his sudden demise are not yet confirmed.,is,were,have been,No improvement,A,"""News"" is an uncountable noun that always takes a singular verb. Therefore, ""is not yet confirmed"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Run fast lest you should not miss the train.,should miss,would miss,might miss,No improvement,A,"The conjunction ""lest"" already carries a negative meaning. Therefore, ""not"" should not be used after it. The correct structure is ""lest + subject + should + base verb."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Every citizen must perform his duty towards the nation.,one's,their,individual,No improvement,D,"In traditional grammar, ""his"" is acceptable as a singular possessive pronoun referring to ""every citizen."" Therefore, the sentence is considered correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I am looking forward to meet the delegates tomorrow.,to meeting,for meeting,to be meeting,No improvement,A,"The phrase ""look forward to"" is followed by a gerund (verb + ing), not an infinitive. Hence, ""to meeting"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The manager severely punished the clerk for breaking the rules.,severe punished,severe punish,punishing severely,No improvement,D,"The adverb ""severely"" correctly modifies the verb ""punished."" Therefore, the sentence is grammatically correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I prefer corporate life than a government job.,to,over,rather than,No improvement,A,"The verb ""prefer"" is followed by the preposition ""to"" when comparing two alternatives."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The sceneries of Switzerland are mesmerizing.,scenery of Switzerland is,scenery of Switzerland are,sceneries of Switzerland is,No improvement,A,"""Scenery"" is an uncountable noun and does not have a plural form. It also takes a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Hard work is the key for cracking competitive exams.,key to,key of,key in,No improvement,A,"The correct expression is ""the key to"" followed by a noun or gerund."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He has passed his examination three years ago.,passed his examination,had passed his examination,was passing his examination,No improvement,A,"When a definite past time expression such as ""three years ago"" is used, the Simple Past Tense is required instead of the Present Perfect Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The committee cannot agree with this controversial proposal.,to,on,at,No improvement,A,"We ""agree with"" a person but ""agree to"" a proposal, plan, or suggestion."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Being a stormy night, the sailor anchored the ship.","It being a stormy night, the sailor anchored","As being a stormy night, the sailor anchored","Since a stormy night, the sailor anchored",No improvement,A,"The introductory phrase lacks a proper subject. ""It"" should be used to refer to the weather condition."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The refugees escaped with bag and baggage.,bag and baggage,with bags and baggages,by bag and baggage,No improvement,A,"The idiom is ""bag and baggage."" Since the meaning of ""with"" is already implied, the extra ""with"" should be removed."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If they had played well, they would win the match.",would have won,will win,won,No improvement,A,"This is a Third Conditional sentence. The structure is: If + had + V3, subject + would have + V3."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The continuous ticking of the clocks distracted the students.,distracts,distract,was distracting,No improvement,D,"The subject ""The continuous ticking"" is singular, and the sentence correctly uses the Simple Past Tense."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,No sooner did the teacher entered the room than the students stood up.,enter,enters,had entered,No improvement,A,"After ""did,"" the base form of the verb must be used. Therefore, ""enter"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Her performance was much better than mine.,more better,very better,the best,No improvement,D,"""Much better"" is a correct comparative structure used for emphasis. ""More better"" would be an incorrect double comparative."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Both the layout designs are not suitable for the magazine cover.,Neither of the layout designs is,None of the layout designs are,Both layouts are refusing,No improvement,A,"For two items in a negative sense, ""Neither of"" followed by a singular verb is the correct structure."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The fire spread rapidly but everyone could evacuate safely.,was able to,might,can,No improvement,A,"""Was able to"" is preferred when referring to successful completion of a specific action in the past."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Many a man have lost fortunes in stock market speculation.,has lost,have lose,has lose,No improvement,A,"""Many a"" is followed by a singular noun and a singular verb. Therefore, ""has lost"" is correct."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She talks as if she is the prime minister.,were,was,has been,No improvement,A,"""As if"" introducing an unreal situation generally requires the subjunctive form ""were."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Beside his business, he manages an NGO as well.",Besides his business,Beside of his business,By beside his business,No improvement,A,"""Besides"" means ""in addition to,"" whereas ""beside"" means ""next to."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The climate of Shimla is cooler than Delhi.,than that of Delhi,than those of Delhi,to Delhi,No improvement,A,"The comparison is between the climates of two places. ""That of"" avoids repetition of the noun ""climate."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is senior and older than me.,senior to and older than,senior than and older than,senior to and old than,No improvement,A,"""Senior"" takes the preposition ""to,"" whereas ""older"" takes ""than."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,My friend is habituated to drive fast on highways.,to driving,with driving,for driving,No improvement,A,"Expressions such as ""habituated to"" are followed by a gerund."
